sentence_id	token	gold_modal	head
0	The	O	O
0	American	O	O
0	Department	O	O
0	of	O	O
0	State	O	O
0	,	O	O
0	in	O	O
0	its	O	O
0	annual	O	O
0	report	O	O
0	on	O	O
0	human	O	S-TARGET
0	rights	S_rules	O
0	,	O	O
0	has	O	O
0	accused	O	O
0	a	O	O
0	number	O	O
0	of	O	O
0	countries	O	O
0	,	O	O
0	including	O	O
0	Iran	O	O
0	,	O	O
0	of	O	O
0	human	O	O
0	rights	S_rules	S-TARGET
0	violations	S_rules	O
0	.	O	O

1	This	O	O
1	is	O	O
1	taking	O	O
1	place	O	O
1	at	O	O
1	a	O	O
1	time	O	O
1	when	O	O
1	the	O	O
1	government	O	O
1	of	O	O
1	[	O	O
1	George	O	O
1	W.	O	O
1	]	O	O
1	Bush	O	O
1	has	O	O
1	been	O	O
1	identified	O	O
1	as	O	O
1	the	O	O
1	top	O	O
1	violator	S_rules	O
1	of	O	S-TARGET
1	human	O	O
1	rights	S_rules	O
1	of	O	O
1	the	O	O
1	last	O	O
1	Christian	O	O
1	year	O	O
1	because	O	O
1	of	O	O
1	the	O	O
1	restrictions	S_rules	O
1	imposed	S_rules	S-TARGET
1	on	O	O
1	the	O	O
1	American	O	O
1	citizens	O	O
1	under	O	O
1	the	O	O
1	excuse	O	O
1	of	O	O
1	fighting	O	O
1	terrorism	O	O
1	.	O	O

2	So	O	O
2	far	O	O
2	the	O	O
2	Bush	O	O
2	administration	O	O
2	has	O	O
2	denied	O	O
2	its	O	O
2	citizens	O	O
2	their	O	O
2	legitimate	S_rules	O
2	rights	O	S-TARGET
2	,	O	O
2	has	O	O
2	set	O	O
2	up	O	O
2	military	O	O
2	courts	O	O
2	to	O	O
2	try	O	O
2	the	O	O
2	people	O	O
2	charged	S_knowledge	O
2	with	O	S-TARGET
2	terrorism	O	O
2	without	O	O
2	giving	O	O
2	the	O	O
2	accused	O	O
2	the	O	O
2	right	S_rules	O
2	of	O	S-TARGET
2	appeal	O	O
2	or	O	O
2	the	O	O
2	basic	O	O
2	right	S_rules	O
2	to	O	O
2	appoint	O	S-TARGET
2	a	O	O
2	lawyer	O	O
2	.	O	O

3	Moreover	O	O
3	,	O	O
3	the	O	O
3	American	O	O
3	administration	O	O
3	has	O	O
3	violated	O	O
3	the	O	O
3	rights	S_rules	O
3	of	O	S-TARGET
3	the	O	O
3	minorities	O	O
3	and	O	O
3	in	O	O
3	particular	O	O
3	the	O	O
3	Muslim	O	O
3	minority	O	O
3	who	O	O
3	have	O	O
3	migrated	O	O
3	to	O	O
3	America	O	O
3	.	O	O

4	The	O	O
4	American	O	O
4	administration	O	O
4	is	O	O
4	keeping	O	O
4	the	O	O
4	Taleban	O	O
4	and	O	O
4	Al-Qa'idah	O	O
4	prisoners	O	O
4	in	O	O
4	metal	O	O
